Foto;Nombre;Precio
https://media-cdn.tripadvisor.com/media/photo-s/21/ca/09/cc/facade.jpg;NH Collection Barranquilla Smartsuites Royal;$187.984
https://media-cdn.tripadvisor.com/media/photo-s/0d/61/8a/34/bh-barranquilla.jpg;1. BH Barranquilla;$202.000
https://media-cdn.tripadvisor.com/media/photo-s/1d/a2/a0/d5/exterior.jpg;2. Hampton by Hilton Barranquilla;$215.600
https://media-cdn.tripadvisor.com/media/photo-s/21/a0/5b/59/hotel-exterior.jpg;3. Holiday Inn Express Barranquilla Buenavista;$296.987
https://media-cdn.tripadvisor.com/media/photo-s/21/ca/09/cc/facade.jpg;4. NH Collection Barranquilla Smartsuites Royal;$188.395
https://media-cdn.tripadvisor.com/media/photo-s/13/64/ba/29/exterior.jpg;5. Washington Plaza Hotel;$214.406
https://media-cdn.tripadvisor.com/media/photo-s/1c/c5/ad/fb/wyndham-garden-barranquilla.jpg;6. Wyndham Garden Barranquilla;$349.396
https://media-cdn.tripadvisor.com/media/photo-s/1c/d4/43/69/exterior-view.jpg;7. ibis Barranquilla;$142.718
https://media-cdn.tripadvisor.com/media/photo-s/01/d5/40/22/hotel-atrium-plaza.jpg;8. Hotel Atrium Plaza;$156.940
https://media-cdn.tripadvisor.com/media/photo-s/1d/bb/26/b0/hotel-exterior.jpg;9. Crowne Plaza Barranquilla;$332.954
https://media-cdn.tripadvisor.com/media/photo-s/21/ba/9d/db/exterior.jpg;10. Ibis Budget Barranquilla;$110.900
https://media-cdn.tripadvisor.com/media/photo-s/09/48/22/e9/genova-hotel.jpg;11. Genova Hotel;$169.549
https://media-cdn.tripadvisor.com/media/photo-s/22/8c/db/96/b78673-guest-room.jpg;12. Hotel Barranquilla Plaza;$198.550
https://media-cdn.tripadvisor.com/media/photo-s/1c/df/17/ff/b0de76-exterior.jpg;13. Hotel American Golf;$180.400
https://media-cdn.tripadvisor.com/media/photo-s/14/3f/00/38/country-international.jpg;14. Country International Hotel;$161.040
https://media-cdn.tripadvisor.com/media/photo-s/1c/be/96/67/el-hotel-ofrece-el-alquiler.jpg;15. Hotel Portal Del Río;$149.631
https://media-cdn.tripadvisor.com/media/partner/bookingcom/photo-s/23/23/a7/b6/caption.jpg;16. Hotel Platinum Barranquilla;$74.795
https://media-cdn.tripadvisor.com/media/photo-s/15/70/34/a2/lounge.jpg;17. Movich Buró 51;
https://media-cdn.tripadvisor.com/media/photo-s/02/aa/14/11/filename-2012-07-19-14.jpg;18. Hotel El Prado;
https://media-cdn.tripadvisor.com/media/photo-s/1d/05/de/fe/hotel-four-points-by.jpg;19. Four Points by Sheraton Barranquilla;
https://media-cdn.tripadvisor.com/media/photo-s/0a/2c/15/1a/outdoor-pool.jpg;20. GHL Collection Hotel Barranquilla;
https://media-cdn.tripadvisor.com/media/photo-s/02/1f/58/a5/pool.jpg;21. Estelar En Alto Prado Hotel;
https://media-cdn.tripadvisor.com/media/photo-s/22/4a/4e/a0/exterior.jpg;22. Howard Johnson Hotel Versalles Barranquilla;
https://media-cdn.tripadvisor.com/media/photo-s/1d/82/d0/f1/exterior.jpg;23. Hilton Garden Inn Barranquilla;
https://media-cdn.tripadvisor.com/media/photo-s/22/fb/b2/50/dann-carlton-barranquilla.jpg;24. Hotel Dann Carlton Barranquilla;
https://media-cdn.tripadvisor.com/media/photo-s/11/45/34/dd/junior-suite.jpg;25. Hotel Windsor;
https://media-cdn.tripadvisor.com/media/photo-s/0f/37/9a/0d/vista-a-la-piscina-desde.jpg;26. Hotel Suite Dorado;
https://media-cdn.tripadvisor.com/media/photo-s/20/2b/bf/9e/lobby.jpg;27. GHL Hotel Barranquilla;
