""Wyndham Garden Barranquilla,$ 369.403$ 165.750
Washington Plaza Hotel,$ 210.915$ 164.475
Crowne Plaza Barranquilla,$ 304.319
Hilton Garden Inn Barranquilla,$ 277.294
GHL Hotel Barranquilla,$ 219.648
Hotel Faranda Collection Barranquilla,$ 250.934
Hotel Dann Carlton Barranquilla,$ 280.000
Hotel Faranda Express Puerta del Sol,$ 162.000
Estelar Apartamentos Barranquilla,$ 246.400$ 216.000
Hotel American Golf,$ 146.608
Hotel Genova Prado,$ 145.000
Hotel Majestic,$ 153.000
Hotel Ayenda Caribe Princess,$ 128.384
Hotel Rivera Del Mar,$ 95.000
Aquarius Hotel by DOT Light,$ 73.185
Hotel Ayenda Casa Ballesteros 1318,$ 126.245
Hotel Casa Boston by DOT Light,$ 85.415
Hotel Ayenda Costa Linda 1321,$ 122.327
Ribai Hotels,$ 132.000$ 120.000
Hotel Granada Inn,$ 69.851
Ayenda 1311 Doral,$ 90.000
Hotel Marcari,$ 100.820
Ayenda 1313 Barahona 72,$ 107.636
Vallclaire Suites,$ 207.900
Hostal Sun River,$ 119.900
Ayenda 1310 Estefania Princess,$ 119.117$ 111.544
Canadiense Hotel,$ 75.000
Hotel Del Mar Inn,$ 69.440
MaryHouse,$ 45.000
Hotel San Diego inc,$ 119.990
Wyndham Garden Barranquilla,$ 336.731$ 165.750
Washington Plaza Hotel,$ 191.250
Crowne Plaza Barranquilla,$ 309.739
Hilton Garden Inn Barranquilla,$ 241.138
GHL Hotel Barranquilla,$ 196.240
Hotel Dann Carlton Barranquilla,$ 285.000
Hotel Faranda Express Puerta del Sol,$ 162.000
Estelar Apartamentos Barranquilla,$ 216.000
Hotel American Golf,$ 166.600$ 146.608
Hotel Genova Prado,$ 135.000
Hotel Majestic,$ 153.000
Hotel Ayenda Caribe Princess,$ 128.384
Hotel Rivera Del Mar,$ 95.000
Aquarius Hotel by DOT Light,$ 74.154$ 73.185
Hotel Ayenda Casa Ballesteros 1318,$ 105.793
Hotel Casa Boston by DOT Light,$ 85.415
Hotel Ayenda Costa Linda 1321,$ 122.327
MS Alto Prado Superior,$ 135.115
Ribai Hotels,$ 120.000
Hotel Marcari,$ 100.820
San Francisco Hotel Barranquilla,$ 115.000
Ayenda 1313 Barahona 72,$ 107.791
Vallclaire Suites,$ 207.900
Ayenda 1311 Doral,$ 90.000
Hostal Sun River,$ 119.900
Ayenda 1310 Estefania Princess,$ 107.731$ 101.299
Las Margaritas Alojamientos,$ 100.000
Ayenda Villa Santos Apartaestudios 1323,$ 131.916
MaryHouse,$ 45.000
Hotel San Diego inc,$ 119.990
Patrocinado      NH Collection Barranquilla Smartsuites Royal,$ 226.026
31. Washington Plaza Hotel,$ 222.934$ 160.854
32. Hilton Garden Inn Barranquilla,$ 253.094
33. Hotel Dann Carlton Barranquilla,$ 285.000
34. Radisson Diamond Barranquilla,$ 193.939
35. Hotel Faranda Express Puerta del Sol,$ 162.001
36. GHL Hotel Barranquilla,$ 208.208
37. Estelar Apartamentos Barranquilla,$ 261.800$ 216.000
38. Hotel Ayenda Casa Ballesteros 1318,$ 107.891
39. Mamy Dorme Hostel,$ 50.000
40. Hotel Genova Prado,$ 145.000
41. Hotel Majestic,$ 170.000
42. Hotel Ayenda Caribe Princess,$ 128.253
43. Hotel Rivera Del Mar,$ 95.000
44. Aquarius Hotel by DOT Light,$ 86.100
45. Hotel Granada Inn,$ 69.160
46. Hotel Ayenda Costa Linda 1321,$ 122.448
47. Hotel Casa Boston by DOT Light,$ 80.669
48. Ayenda 1311 Doral,$ 90.000
49. MS Alto Prado Superior,$ 132.640
50. Casa Aluna,$ 75.000
51. Ribai Hotels,$ 120.000
52. Hotel Marcari,$ 100.820
53. Ayenda 1313 Barahona 72,$ 107.641
54. Vallclaire Suites,$ 207.900
55. Hotel Interamericano,$ 68.800
56. Ayenda Villa Santos Apartaestudios 1323,$ 134.361
57. Hotel Del Mar Inn,$ 68.800
58. MaryHouse,$ 45.000
59. Hotel San Diego inc,$ 119.990
60. Crowne Plaza Barranquilla,$ 434.704
Patrocinado      NH Collection Barranquilla Smartsuites Royal,$ 226.026
31. Hilton Garden Inn Barranquilla,$ 264.005
32. Hotel Dann Carlton Barranquilla,$ 285.000
33. Radisson Diamond Barranquilla,$ 193.939
34. Hotel Faranda Express Puerta del Sol,$ 162.001
35. GHL Hotel Barranquilla,$ 208.208
36. Estelar Apartamentos Barranquilla,$ 216.000
37. Hotel Ayenda Casa Ballesteros 1318,$ 107.891
38. Mamy Dorme Hostel,$ 50.000
39. Hotel Genova Prado,$ 145.000
40. Hotel Majestic,$ 170.000
41. Hotel Ayenda Caribe Princess,$ 128.253
42. Hotel Rivera Del Mar,$ 95.000
43. Aquarius Hotel by DOT Light,$ 86.100
44. Hotel Granada Inn,$ 69.160
45. Hotel Ayenda Costa Linda 1321,$ 122.448
Patrocinado      Washington Plaza Hotel,$ 222.934
46. Hotel Casa Boston by DOT Light,$ 80.669
47. Ayenda 1311 Doral,$ 90.000
48. MS Alto Prado Superior,$ 132.640
49. Casa Aluna,$ 75.000
50. Ribai Hotels,$ 120.000
Patrocinado      Ayenda 1315 Candiac,$ 129.014
51. Hotel Marcari,$ 100.820
52. Ayenda 1313 Barahona 72,$ 107.641
53. Vallclaire Suites,$ 207.900
54. Hotel Interamericano,$ 68.800
55. Ayenda Villa Santos Apartaestudios 1323,$ 134.361
Patrocinado      Holiday Inn Express Barranquilla Buenavista,$ 355.600
56. Hotel Del Mar Inn,$ 68.800
57. MaryHouse,$ 45.000
58. Hotel San Diego inc,$ 119.990
59. Washington Plaza Hotel,
60. Crowne Plaza Barranquilla,$ 434.704
Patrocinado      Hotel Portal Del Río,$ 132.640
31. Hilton Garden Inn Barranquilla,$ 264.005
32. Hotel Dann Carlton Barranquilla,$ 285.000
33. Radisson Diamond Barranquilla,$ 193.939
34. Hotel Faranda Express Puerta del Sol,$ 162.001
35. GHL Hotel Barranquilla,$ 208.208
Patrocinado      NH Collection Barranquilla Smartsuites Royal,$ 226.026
36. Estelar Apartamentos Barranquilla,$ 216.000
37. Hotel Ayenda Casa Ballesteros 1318,$ 107.891
38. Mamy Dorme Hostel,$ 50.000
39. Hotel Genova Prado,$ 145.000
40. Hotel Majestic,$ 170.000
41. Hotel Ayenda Caribe Princess,$ 128.253
42. Hotel Rivera Del Mar,$ 95.000
43. Aquarius Hotel by DOT Light,$ 86.100
44. Hotel Granada Inn,$ 69.160
45. Hotel Ayenda Costa Linda 1321,$ 122.448
46. Hotel Casa Boston by DOT Light,$ 80.669
47. Ayenda 1311 Doral,$ 90.000
48. MS Alto Prado Superior,$ 132.640
49. Casa Aluna,$ 75.000
50. Ribai Hotels,$ 120.000
51. Hotel Marcari,$ 100.820
52. Ayenda 1313 Barahona 72,$ 107.641
53. Vallclaire Suites,$ 207.900
54. Hotel Interamericano,$ 68.800
55. Ayenda Villa Santos Apartaestudios 1323,$ 134.361
56. Hotel Del Mar Inn,$ 68.800
57. MaryHouse,$ 45.000
58. Hotel San Diego inc,$ 119.990
59. Washington Plaza Hotel,
60. Crowne Plaza Barranquilla,$ 434.704
Patrocinado      NH Collection Barranquilla Smartsuites Royal,$ 226.026
31. Hilton Garden Inn Barranquilla,$ 264.005
32. Hotel Dann Carlton Barranquilla,$ 285.000
33. Radisson Diamond Barranquilla,$ 193.939
34. Hotel Faranda Express Puerta del Sol,$ 162.001
35. GHL Hotel Barranquilla,$ 208.208
Patrocinado      Hotel Casa Boston by DOT Light,$ 76.500
36. Estelar Apartamentos Barranquilla,$ 261.800
37. Hotel Ayenda Casa Ballesteros 1318,$ 107.891
38. Mamy Dorme Hostel,$ 50.000
39. Hotel Genova Prado,$ 145.000
40. Hotel Majestic,$ 170.000
Patrocinado      Holiday Inn Express Barranquilla Buenavista,$ 355.600
41. Hotel Ayenda Caribe Princess,$ 128.253
42. Hotel Rivera Del Mar,$ 95.000
43. Aquarius Hotel by DOT Light,$ 86.100
44. Hotel Granada Inn,$ 69.160
45. Hotel Ayenda Costa Linda 1321,$ 122.448
Patrocinado      Hotel Portal Del Río,$ 132.640
46. Hotel Casa Boston by DOT Light,$ 80.669
47. Ayenda 1311 Doral,$ 90.000
48. MS Alto Prado Superior,$ 132.640
49. Casa Aluna,$ 75.000
50. Ribai Hotels,$ 120.000
51. Hotel Marcari,$ 100.820
52. Ayenda 1313 Barahona 72,$ 107.641
53. Vallclaire Suites,$ 207.900
54. Hotel Interamericano,$ 68.800
55. Ayenda Villa Santos Apartaestudios 1323,$ 134.361
Patrocinado      Hotel Faranda Express Puerta del Sol,$ 162.000
56. Hotel Del Mar Inn,$ 68.800
57. MaryHouse,$ 45.000
58. Hotel San Diego inc,$ 119.990
59. Washington Plaza Hotel,
60. Crowne Plaza Barranquilla,$ 434.704
Patrocinado      Hotel Virrey Inn,$ 137.941
Patrocinado      NH Collection Barranquilla Smartsuites Royal,$ 226.026
31. Hilton Garden Inn Barranquilla,$ 264.005
32. Hotel Dann Carlton Barranquilla,$ 285.000
33. Radisson Diamond Barranquilla,$ 193.939
34. Hotel Faranda Express Puerta del Sol,$ 162.001
35. GHL Hotel Barranquilla,$ 208.208
36. Estelar Apartamentos Barranquilla,$ 216.000
37. Hotel Ayenda Casa Ballesteros 1318,$ 107.891
38. Mamy Dorme Hostel,$ 50.000
39. Hotel Genova Prado,$ 145.000
40. Hotel Majestic,$ 170.000
41. Hotel Ayenda Caribe Princess,$ 128.253
42. Hotel Rivera Del Mar,$ 95.000
43. Aquarius Hotel by DOT Light,$ 86.100
44. Hotel Granada Inn,$ 69.160
45. Hotel Ayenda Costa Linda 1321,$ 122.448
46. Hotel Casa Boston by DOT Light,$ 80.669
47. Ayenda 1311 Doral,$ 90.000
48. MS Alto Prado Superior,$ 132.640
49. Casa Aluna,$ 75.000
50. Ribai Hotels,$ 120.000
51. Hotel Marcari,$ 100.820
52. Ayenda 1313 Barahona 72,$ 107.641
53. Vallclaire Suites,$ 207.900
54. Hotel Interamericano,$ 68.800
55. Ayenda Villa Santos Apartaestudios 1323,$ 134.361
56. Hotel Del Mar Inn,$ 68.800
57. MaryHouse,$ 45.000
58. Hotel San Diego inc,$ 119.990
59. Washington Plaza Hotel,
60. Crowne Plaza Barranquilla,$ 434.704
